ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Catostomus catostomus,Longnose Sucker,Meunier rouge,Unsexed,130,NA,FL,NA,"Frye Creek, Sixteen Mile Lake",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>
Catostomus commersonii,White Sucker,Meunier noir,Unsexed,230,NA,FL,NA,"Frye Creek, Sixteenmile Lake",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Female,143,NA,TL,United States,"Lost Creek Reservoir, Utah, 1977",<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Female,127,NA,TL,United States,Montana Streams,<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Female,106,NA,TL,United States,"Shoal Creek, Utah and Bitter Creek, Wyoming",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Male,115,NA,TL,United States,"Lost Creek Reservoir, Utah, 1977",<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Male,107,NA,TL,United States,Montana Streams,<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>
Catostomus platyrhynchus,Mountain Sucker,Meunier des montagnes,Male,76,NA,TL,United States,"Shoal Creek, Utah and Bitter Creek, Wyoming",<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>
Chasmistes liorus,June Sucker,Catostome noir nain,Unsexed,440,NA,TL,United States,Utah Lake.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=35393 target='_blank' >Whitney et al. 2000</a>
Percopsis omiscomaycus,Trout-Perch,Omisco,Female,75,NA,TL,United States,"SE Lake Michigan, 1970",<a href=http://fishbase.ca/references/FBRefSummary.php?id=51953 target='_blank' >House et al. 1973</a>
Fundulus heteroclitus,Mummichog,Choquemort,Unsexed,35,NA,SL,NA,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>
Labidesthes sicculus,Brook Silverside,Crayon d'argent,Unsexed,NA,70,NA,NA,USA,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Pungitius pungitius,Ninespine Stickleback,Épinoche à neuf épines,Unsexed,NA,37,NA,England and Wales (UK),"Cheshire, England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Morone chrysops,White Bass,Bar blanc,Female,NA,280,TL,United States,"Lake Erie, 1927-29",<a href=http://fishbase.ca/references/FBRefSummary.php?id=3380 target='_blank' >van Oosten 1942</a>
Morone chrysops,White Bass,Bar blanc,Male,NA,210,TL,United States,"Lake Erie, 1927-29",<a href=http://fishbase.ca/references/FBRefSummary.php?id=3380 target='_blank' >van Oosten 1942</a>
Micropterus dolomieu,Smallmouth Bass,Achigan à petite bouche,Female,220,NA,TL,United States,"Nebish Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=40678 target='_blank' >Raffetto et al. 1990</a>
Micropterus dolomieu,Smallmouth Bass,Achigan à petite bouche,Male,200,NA,TL,United States,"Nebish Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=32487 target='_blank' >Baylis et al. 1993</a>
Sander canadensis,Sauger,Doré noir,Female,NA,320,NA,Canada,Lake Nipigon,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Sander vitreus,Walleye,Doré jaune,Female,360,NA,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=33236 target='_blank' >Malison et al. 1996</a>
Sander vitreus,Walleye,Doré jaune,Male,280,NA,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=33236 target='_blank' >Malison et al. 1996</a>
Cottus cognatus,Slimy Sculpin,Chabot visqueux,Unsexed,NA,74,TL,Alaska (USA),Chandalar River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=28921 target='_blank' >Craig et al. 1976</a>
Gymnocephalus cernua,Eurasian Ruffe,Grémille,Female,NA,105,NA,NA,Not Stated,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88808 target='_blank' >Teletchea et al. 2009</a>
Gymnocephalus cernua,Eurasian Ruffe,Grémille,Male,NA,100,NA,NA,Not Stated,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88808 target='_blank' >Teletchea et al. 2009</a>
Gobio gobio,Gudgeon,Gofi,Unsexed,120,135,TL,United Kingdom,British Isles,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6258 target='_blank' >Maitland et al. 1992</a>
Gobio gobio,Gudgeon,Gofi,Female,NA,93,TL,England and Wales (UK),"River Stour, Southern England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=41750 target='_blank' >Mann 1980</a>
Gobio gobio,Gudgeon,Gofi,Male,NA,105,TL,England and Wales (UK),"River Frome, Southern England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=41750 target='_blank' >Mann 1980</a>
Gobio gobio,Gudgeon,Gofi,Male,NA,97,TL,England and Wales (UK),"River Stour, Southern England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=41750 target='_blank' >Mann 1980</a>
Thymallus thymallus,European Grayling,Ombre commun,Unsexed,NA,300,NA,Finland,"Rautalampi Water System, Central Finland",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6114 target='_blank' >Koli 1990</a>
Leuciscus leuciscus,Common Dace,Vandoise,Unsexed,140,NA,NA,Finland,Finland,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6114 target='_blank' >Koli 1990</a>
Leuciscus leuciscus,Common Dace,Vandoise,Unsexed,NA,170,TL,Poland,Lodz,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41616 target='_blank' >W<fc>stemann et al. 1995</a>
Leuciscus leuciscus,Common Dace,Vandoise,Female,NA,179,TL,England and Wales (UK),"Southern England, Rivers",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52212 target='_blank' >Mann 1974</a>
Leuciscus leuciscus,Common Dace,Vandoise,Male,NA,163,TL,England and Wales (UK),"Southern England, Rivers",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52212 target='_blank' >Mann 1974</a>
Alosa fallax,Twaite Shad,Alose feinte,Female,NA,285,TL,Tunisia,Tunisia Lagoon;,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2285 target='_blank' >Conseil G<e9>... 1982</a>
Alosa fallax,Twaite Shad,Alose feinte,Male,NA,165,TL,Tunisia,Tunisia Lagoon,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2285 target='_blank' >Conseil G<e9>... 1982</a>
Alosa fallax,Twaite Shad,Alose feinte,Female,NA,364,FL,Scotland (UK),"Solway Firth, 1989-94",<a href=http://fishbase.ca/references/FBRefSummary.php?id=83392 target='_blank' >Maitland et al. 2005</a>
Alosa fallax,Twaite Shad,Alose feinte,Male,NA,341,FL,Scotland (UK),"Solway Firth, 1989-94",<a href=http://fishbase.ca/references/FBRefSummary.php?id=83392 target='_blank' >Maitland et al. 2005</a>
Dallia pectoralis,Alaska Blackfish,Dallia,Unsexed,NA,50,NA,United States,Alaska,"<a href=http://fishbase.us/references/FBRefSummary.php?id=10280 target='_blank' >McPhail and Lindsey, 1970</a>"
Alosa pseudoharengus,Alewife,Gaspareau,Unsexed,NA,138,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3889726~S6 target='_blank' >Minns et al. 1993</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Male,NA,290,TL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=12204 target='_blank' >Coad et al. 1995</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Female,NA,460,TL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=12204 target='_blank' >Coad et al. 1995</a>
Alosa sapidissima,American Shad,Alose savoureuse,Unsexed,NA,470,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Salvelinus alpinus alpinus,Arctic Char,Omble chevalier,Unsexed,NA,363,FL,Canada,"Frobisher Bay, Nunavut","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Thymallus arcticus,Arctic Grayling,Ombre arctique,Unsexed,NA,326,FL,Canada,"Prairie Creek, Alberta","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,Unsexed,NA,180,NA,United States,Alaska,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Salmo salar,Atlantic Salmon,Saumon Atlantique,Unsexed,NA,800,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Fundulus diaphanus,Banded Killifish,Fondule barré,Unsexed,NA,53,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Coregonus laurettae,Bering Cisco,Cisco de Béring,Unsexed,NA,345,FL,United States,Alaska,"<a href=http://fishbase.us/references/FBRefSummary.php?id=28864 target='_blank' >Alt, 1973</a>"
Ictiobus cyprinellus,Bigmouth Buffalo,Poisson-taureau,Unsexed,NA,400,NA,Canada,Ontario,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Notropis dorsalis,Bigmouth Shiner,Méné à grande bouche,Unsexed,NA,48,TL,United States,"Des Moines River, Iowa",<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Ictiobus niger,Black Buffalo,NA,Unsexed,225,308,NA,United States,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Ameiurus melas,Black Bullhead,Poisson-chat,Unsexed,NA,220,TL,United States,North Dakota,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Pomoxis nigromaculatus,Black Crappie,Marigane noire,Unsexed,NA,192,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Moxostoma duquesnii,Black Redhorse,NA,Unsexed,NA,230,NA,United States,Wisconsin,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Notropis heterodon,Blackchin Shiner,Menton noir,Unsexed,NA,37,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Coregonus nigripinnis,Blackfin Cisco,NA,Unsexed,NA,183,SL,Canada,Lake Winnipeg,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Rhinichthys atratulus,Blacknose Dace,Naseux noir,Unsexed,NA,49,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Notropis heterolepis,Blacknose Shiner,Museau noir,Unsexed,NA,24,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Percina maculata,Blackside Darter,NA,Unsexed,NA,70,TL,United States,Wisconsin,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Fundulus notatus,Blackstripe Topminnow,NA,Unsexed,36,38,TL,United States,"Fox River, Wisconsin","<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Fundulus notatus,Blackstripe Topminnow,NA,Mixed,41,48,TL,United States,"Rock River, Wisconsin","<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Coregonus hoyi,Bloater,NA,Unsexed,NA,208,FL,Canada,Lake Ontario,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Alosa aestivalis,Blueback Herring,Alose d'été,Unsexed,NA,195,NA,Canada,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Lepomis macrochirus,Bluegill,Crapet arlequin,Unsexed,NA,93,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Pimephales notatus,Bluntnose Minnow,NA,Unsexed,NA,50,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Catostomus columbianus,Bridgelip Sucker,Meunier de l'ouest,Unsexed,NA,378,FL,Canada,British Columbia,"<a href=http://dx.doi.org/10.1577/1548-8659(1980)109%3C92:LHOTBS%3E2.0.CO;2 target='_blank' >Dauble, 1980</a>"
Noturus miurus,Brindled Madtom,NA,Unsexed,51,61,NA,United States,Ohio,"<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Scott and Crossman, 1973</a>"
Labidesthes sicculus,Brook Silverside,Crayon d'argent,Unsexed,NA,74,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Culaea inconstans,Brook Stickleback,Épinoche à cinq épines,Unsexed,NA,50,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Salvelinus fontinalis,Brook Trout,Saumon de fontaine,Unsexed,NA,156,SL,Canada,Ontario Lake,<a href=http://fishbase.us/references/FBRefSummary.php?id=10280 target='_blank' >Portt et al. 1988</a>
Ameiurus nebulosus,Brown Bullhead,Barbotte brune,Unsexed,NA,161,SL,Canada,Ontario Lake,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Salmo trutta,Brown Trout,Truite commune,Unsexed,NA,258,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Salvelinus confluentus,Bull Trout,Omble à tête plate,Unsexed,NA,385,NA,Canada,British Columbia,<a href=http://publications.gc.ca/pub?id=9.562530&sl=0 target='_blank' >Ford et al. 1995</a>
Lota lota,Burbot,Lotte,Unsexed,NA,370,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Umbra limi,Central Mudminnow,Umbre de vase,Unsexed,NA,110,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Campostoma anomalum,Central Stoneroller,Roule-caillou,Female,70,NA,NA,Canada,"Thames River, Ontario",<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Campostoma anomalum,Central Stoneroller,Roule-caillou,Male,75,NA,NA,Canada,"Thames River, Ontario",<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Esox niger,Chain Pickerel,Brochet maillé,Unsexed,NA,440,TL,Canada,New Brunswick,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Ictalurus punctatus,Channel Catfish,Barbue de rivière,Unsexed,NA,337,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Percina copelandi,Channel Darter,Fouille-roche gris,Female,NA,35,SL,NA,NA,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54724 target='_blank' >Jenkins and Burkhead, 1993</a>"
Oncorhynchus tshawytscha,Chinook Salmon,Saumon chinook,Unsexed,NA,750,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Oncorhynchus keta,Chum Salmon,Saumon keta,Unsexed,NA,681,FL,Canada,"Fraser River, British Columbia","<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Scott and Crossman, 1973</a>"
Coregonus artedi,Cisco,Cisco de lac,Unsexed,NA,246,SL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=10280 target='_blank' >Portt et al. 1988</a>
Cottus aleuticus,Coastrange Sculpin,Chabot côtier,Unsexed,NA,71,TL,United States,Oregon,"<a href=http://fishbase.us/references/FBRefSummary.php?id=58470 target='_blank' >Wydoski and Whitney, 1979</a>"
Oncorhynchus kisutch,Coho Salmon,Saumon coho,Unsexed,NA,635,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Cyprinus carpio,Common Carp,Carpe,Unsexed,NA,353,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Moxostoma hubbsi,Copper Redhorse,NA,Mixed,NA,652,NA,Canada,Quebec,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Semotilus atromaculatus,Creek Chub,Mulet à cornes,Unsexed,NA,87,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Exoglossum maxillingua,Cutlips Minnow,Bec-de-lièvre,Unsexed,NA,80,NA,NA,NA,<a href=https://doi.org/10.2307/1436880 target='_blank' >Coker et al. 2001</a>
Oncorhynchus clarkii,Cutthroat Trout,Truite fardée,Unsexed,NA,363,FL,Canada,"Vancouver Island, British Columbia","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Lethenteron alaskense,Darktail Lamprey,NA,Unsexed,150,180,NA,United States,Alaska,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Myoxocephalus thompsonii,Deepwater Sculpin,Chabot de profondeur,Unsexed,NA,81,TL,Canada,"Burchell Lake, Ontario","<a href=https://doi.org/10.1139/z81-196 target='_blank' >Black and Lankester, 1981</a>"
Salvelinus malma,Dolly Varden,Dolly varden,Unsexed,NA,206,FL,United States,Alaska,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Ammocrypta pellucida,Eastern Sand Darter,Dard de sable,Unsexed,NA,36,SL,NA,NA,"<a href=http://science-catalogue.canada.ca/record=b3654104~S6 target='_blank' >Holm and Mandrak, 1995</a>"
Thaleichthys pacificus,Eulachon,Eulakane,Unsexed,104,124,FL,Canada,British Columbia,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Etheostoma flabellare,Fantail Darter,Dard barré,Unsexed,NA,55,TL,United States,West and North of Viginia,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54724 target='_blank' >Jenkins and Burkhead, 1993</a>"
Pimephales promelas,Fathead Minnow,Tête de boule,Unsexed,NA,54,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Chrosomus neogaeus,Finescale Dace,Ventre citron,Unsexed,NA,59,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Platygobio gracilis,Flathead Chub,Méné à tête plate,Unsexed,NA,180,NA,Canada,"Peace River, Alberta","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=78981 target='_blank' >Nelson and Paetz, 1992</a>"
Myoxocephalus quadricornis,Fourhorn Sculpin,NA,Male,NA,150,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=58522 target='_blank' >Houston, 1990b</a>"
Myoxocephalus quadricornis,Fourhorn Sculpin,NA,Female,NA,180,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=58522 target='_blank' >Houston, 1990b</a>"
Apeltes quadracus,Fourspine Stickleback,Épinoche à quatre épines,Unsexed,NA,41,SL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Aplodinotus grunniens,Freshwater Drum,Malachigan,Unsexed,NA,292,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Notropis buchanani,Ghost Shiner,Méné fantôme,Unsexed,NA,43,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Dorosoma cepedianum,Gizzard Shad,Alose à gésier,Unsexed,NA,279,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3889726~S6 target='_blank' >Minns et al. 1993</a>
Moxostoma erythrurum,Golden Redhorse,NA,Unsexed,NA,259,NA,United States,Wisconsin,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Oncorhynchus aguabonita,Golden Trout,NA,Unsexed,NA,335,TL,United States,Montana,"<a href=http://fishbase.us/references/FBRefSummary.php?id=58470 target='_blank' >Wydoski and Whitney, 1979</a>"
Hiodon alosoides,Goldeye,Laquaiche aux yeux d'or,Unsexed,NA,320,FL,NA,North America,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Carassius auratus,Goldfish,NA,Unsexed,NA,175,NA,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3889726~S6 target='_blank' >Minns et al. 1993</a>
Esox americanus vermiculatus,Grass Pickerel,NA,Unsexed,124,166,FL,Canada,"Jones Creek, Ontario","<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Scott and Crossman, 1973</a>"
Erimystax x-punctatus,Gravel Chub,Gravelier,Unsexed,NA,81,TL,United States,Missouri,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Moxostoma valenciennesi,Greater Redhorse,Chevalier jaune,Male,NA,460,SL,Canada,Lake Ontario Drainage,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Lepomis cyanellus,Green Sunfish,NA,Unsexed,NA,76,NA,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Etheostoma blennioides,Greenside Darter,NA,Unsexed,52,56,TL,Canada,"Grand River, Ontario","<a href=https://doi.org/10.1023/A:1007444811400 target='_blank' >Bunt et al. 1998; agrees with SL in Fahy, 1954</a>"
Nocomis biguttatus,Hornyhead Chub,NA,Unsexed,NA,93,SL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Stenodus leucichthys,Inconnu,Inconnu,Unsexed,NA,610,SL,Canada,"Great Slave Lake, Northwest Territories","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Etheostoma exile,Iowa Darter,Dard à ventre jaune,Unsexed,NA,43,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Etheostoma nigrum,Johnny Darter,Raseux-de-terre noir,Unsexed,NA,37,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Coregonus kiyi,Kiyi,NA,Male,NA,178,TL,United States,Lake Michigan,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Coregonus kiyi,Kiyi,NA,Female,NA,173,TL,United States,Lake Michigan,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Couesius plumbeus,Lake Chub,Méné de lac,Unsexed,NA,108,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Erimyzon sucetta,Lake Chubsucker,NA,Unsexed,NA,208,NA,United States,Wisconsin,"<a href=http://fishbase.us/references/FBRefSummary.php?id=54725 target='_blank' >Becker, 1983</a>"
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Unsexed,NA,950,TL,NA,NA,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Salvelinus namaycush,Lake Trout,Touladi,Unsexed,NA,510,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Coregonus clupeaformis,Lake Whitefish,Grand corégone,Unsexed,NA,236,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Micropterus salmoides,Largemouth Bass,Achigan à grande bouche,Unsexed,NA,272,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Catostomus macrocheilus,Largescale Sucker,Meunier à grandes écailles,Unsexed,NA,190,FL,Canada,British Columbia,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Etheostoma microperca,Least Darter,NA,Male,NA,34,TL,United States,"Dinner Creek, Minnesota","<a href=https://doi.org/10.2307/2426372 target='_blank' >Johnson and Hatch, 1991</a>"
Etheostoma microperca,Least Darter,NA,Female,NA,33,TL,United States,"Dinner Creek, Minnesota","<a href=https://doi.org/10.2307/2426372 target='_blank' >Johnson and Hatch, 1991</a>"
Rhinichthys falcatus,Leopard Dace,Naseux léopard,Unsexed,NA,70,FL,Canada,"Fraser River, British Columbia","<a href=http://www.fishbase.org/References/FBRefSummary.php?id=10307 target='_blank' >Gee and Northcote, 1963</a>"
Percina caprodes,Logperch,Dard-perche,Unsexed,NA,106,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Lepomis megalotis,Longear Sunfish,Crapet à longues oreilles,Unsexed,NA,99,TL,United States,Michigan,"<a href=http://www.fishbase.org/References/FBRefSummary.php?id=114745 target='_blank' >Scott and Crossman, 1973</a>"
Spirinchus thaleichthys,Longfin Smelt,Éperlan d'hiver,Unsexed,NA,107,SL,NA,NA,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Rhinichthys cataractae,Longnose Dace,Naseux des rapides,Unsexed,NA,74,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Catostomus catostomus,Longnose Sucker,Meunier rouge,Unsexed,NA,240,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Noturus insignis,Margined Madtom,NA,Unsexed,NA,103,TL,NA,NA,"<a href=http://fishbase.us/references/FBRefSummary.php?id=3527 target='_blank' >Carlander, 1969</a>"
Notropis volucellus,Mimic Shiner,Méné pâle,Unsexed,NA,35,SL,NA,NA,<a href=http://science-catalogue.canada.ca/record=b3896533~S6 target='_blank' >Portt et al. 1988</a>
Hiodon tergisus,Mooneye,Laquaiche argentée,Unsexed,NA,320,TL,NA,North America,<a href=http://fishbase.us/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
