ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Esox lucius,Northern Pike,Brochet,Female,280,350,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>
Esox lucius,Northern Pike,Brochet,Male,270,380,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>
Esox lucius,Northern Pike,Brochet,Male,270,320,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>
Esox lucius,Northern Pike,Brochet,Female,NA,295,NA,England and Wales (UK),England,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>
Esox lucius,Northern Pike,Brochet,Female,420,NA,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>
Esox lucius,Northern Pike,Brochet,Female,390,NA,NA,Canada,Northern Canada (4 Lakes),<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>
Esox lucius,Northern Pike,Brochet,Female,400,NA,NA,Spain,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>
Esox lucius,Northern Pike,Brochet,Female,NA,257,NA,United Kingdom,Scotland,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>
Esox lucius,Northern Pike,Brochet,Female,NA,380,NA,Canada,"Waskesiu Lake, Saskatchewan",<a href=http://fishbase.ca/references/FBRefSummary.php?id=26395 target='_blank' >Rawson 1932</a>
Esox lucius,Northern Pike,Brochet,Female,NA,415,NA,United Kingdom,Windermere,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>
Esox lucius,Northern Pike,Brochet,Female,NA,508,NA,United States,Wisconsin,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>
Esox lucius,Northern Pike,Brochet,Male,310,NA,NA,Canada,Lac Ste Anne,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26390 target='_blank' >Billard et al. 1983</a>
Esox lucius,Northern Pike,Brochet,Male,320,NA,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>
Esox lucius,Northern Pike,Brochet,Male,390,NA,NA,Canada,Northern Canada (4 Lakes),<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>
Esox lucius,Northern Pike,Brochet,Male,400,NA,NA,Spain,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>
Esox lucius,Northern Pike,Brochet,Male,NA,263,NA,United Kingdom,Scotland,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>
