"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"394","Esox masquinongy","Muskellunge","Female",NA,77,NA,"United States","Chautauqua Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=45885 target='_blank' >Reference</a>"
"395","Esox masquinongy","Muskellunge","Male",NA,67,NA,"United States","Chautauqua Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=45885 target='_blank' >Reference</a>"
"396","Esox niger","Chain pickerel","Unsexed",15.6,NA,NA,"United States","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=39116 target='_blank' >Reference</a>"
"399","Fundulus heteroclitus","Mummichog","Unsexed",3.5,NA,"SL",NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"400","Gasterosteus aculeatus","Three-spined stickleback","Unsexed",NA,3.6,NA,"England and Wales (UK)","Cheshire, England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"401","Gasterosteus aculeatus","Three-spined stickleback","Female",NA,5.5,"TL","France","Roscoff (brackish waters)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=981 target='_blank' >Reference</a>"
"402","Gasterosteus aculeatus","Three-spined stickleback","Male",NA,4.5,"TL","France","Roscoff (brackish waters)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=981 target='_blank' >Reference</a>"
"413","Hybognathus hankinsoni","Brassy minnow","Unsexed",NA,5.7,"SL","Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612 target='_blank' >Reference</a>"
"415","Hybognathus regius","Eastern silvery minnow","Unsexed",NA,8.7,"TL","United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=54724 target='_blank' >Reference</a>"
"417","Hypomesus olidus","Pond smelt","Unsexed",NA,10,NA,"Japan","Lake Suwa","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"422","Hypomesus nipponensis",NA,"Unsexed",6,NA,"TL","Japan","Lake Abashiri, 1996","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93858 target='_blank' >Reference</a>"
"423","Hypomesus transpacificus",NA,"Unsexed",5.5,6,"FL","United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33312 target='_blank' >Reference</a>"
"424","Ichthyomyzon castaneus","Chestnut lamprey","Unsexed",NA,10.1,"TL","Canada","Manitoba","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"425","Ichthyomyzon fossor","Northern brook lamprey","Unsexed",NA,13.5,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559 target='_blank' >Reference</a>"
"426","Ichthyomyzon unicuspis","Silver lamprey","Unsexed",NA,10,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559 target='_blank' >Reference</a>"
"427","Ictalurus punctatus","Channel catfish","Unsexed",NA,36,NA,"United States","Mississippi River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"430","Labidesthes sicculus","Brook silverside","Unsexed",NA,7,NA,NA,"USA","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"431","Lampetra ayresii","Western river lamprey","Unsexed",NA,16.2,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"433","Lepisosteus oculatus","Spotted gar","Unsexed",NA,54.9,"NG","Canada","Great Lakes","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58585 target='_blank' >Reference</a>"
"434","Lepisosteus oculatus","Spotted gar","Female",39.5,NA,"SL","United States","Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58775 target='_blank' >Reference</a>"
"435","Lepisosteus oculatus","Spotted gar","Male",28.5,NA,"SL","United States","Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58775 target='_blank' >Reference</a>"
"436","Lepisosteus osseus","Longnose gar","Female",NA,83.8,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38418 target='_blank' >Reference</a>"
"437","Lepisosteus osseus","Longnose gar","Male",66,NA,NA,"United States","Missouri","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38418 target='_blank' >Reference</a>"
"438","Lepisosteus osseus","Longnose gar","Female",NA,50,NA,"Canada","Great Lakes","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58584 target='_blank' >Reference</a>"
"446","Lethenteron appendix","American brook lamprey","Unsexed",NA,15,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559 target='_blank' >Reference</a>"
"447","Lethenteron camtschaticum","Arctic lamprey","Female",13,NA,"TL",NA,"North America and Asia.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12321 target='_blank' >Reference</a>"
"448","Lethenteron camtschaticum","Arctic lamprey","Male",13.5,NA,"TL",NA,"North America and Asia.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12321 target='_blank' >Reference</a>"
"449","Lethenteron camtschaticum","Arctic lamprey","Unsexed",13,NA,"TL","Mongolia","Barh and Hurh rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"450","Lethenteron camtschaticum","Arctic lamprey","Unsexed",35,NA,"TL",NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"455","Lota lota","Burbot","Female",35,NA,NA,"Mongolia","Selenga and orhon rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"456","Lota lota","Burbot","Male",27,NA,NA,"Mongolia","Selenga and Orhon rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072 target='_blank' >Reference</a>"
"462","Lota lota","Burbot","Mixed",40,NA,"TL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"463","Lota lota","Burbot","Unsexed",45,NA,NA,"Alaska (USA)","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58810 target='_blank' >Reference</a>"
"466","Luxilus chrysocephalus","Striped shiner","Female",NA,6.7,"SL","United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559 target='_blank' >Reference</a>"
"467","Luxilus cornutus","Common shiner","Unsexed",NA,7.4,"SL","Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612 target='_blank' >Reference</a>"
"468","Lythrurus umbratilis","Redfin shiner","Unsexed",NA,3,"SL","United States","Mississippi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58620 target='_blank' >Reference</a>"
"469","Macrhybopsis storeriana","Silver chub","Unsexed",NA,13.2,"SL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58533 target='_blank' >Reference</a>"
"470","Micropterus dolomieu","Smallmouth bass","Female",22,NA,"TL","United States","Nebish Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40678 target='_blank' >Reference</a>"
"471","Micropterus dolomieu","Smallmouth bass","Male",20,NA,"TL","United States","Nebish Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=32487 target='_blank' >Reference</a>"
"476","Morone chrysops","White bass","Female",NA,28,"TL","United States","Lake Erie, 1927-29","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3380 target='_blank' >Reference</a>"
"477","Morone chrysops","White bass","Male",NA,21,"TL","United States","Lake Erie, 1927-29","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3380 target='_blank' >Reference</a>"
"484","Mugil cephalus","Flathead grey mullet","Unsexed",NA,27,"SL","Tunisia","Lagoon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2285 target='_blank' >Reference</a>"
"485","Mugil cephalus","Flathead grey mullet","Unsexed",30,NA,NA,NA,"Western Australia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28724 target='_blank' >Reference</a>"
"486","Mugil cephalus","Flathead grey mullet","Female",NA,33,"TL","France","Gulf of Lion","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7253 target='_blank' >Reference</a>"
"487","Mugil cephalus","Flathead grey mullet","Male",NA,31,"TL","France","Gulf of Lion","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7253 target='_blank' >Reference</a>"
"488","Mugil cephalus","Flathead grey mullet","Unsexed",20,NA,"NG","Taiwan","Taiwan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=11281 target='_blank' >Reference</a>"
"489","Mugil cephalus","Flathead grey mullet","Unsexed",45,NA,"TL","Namibia","Namibia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=36731 target='_blank' >Reference</a>"
"491","Mugil cephalus","Flathead grey mullet","Unsexed",30,NA,"TL","Russian Federation","Primorye","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557 target='_blank' >Reference</a>"
"492","Mugil cephalus","Flathead grey mullet","Unsexed",NA,34,"SL","South Africa","Southern African estuaries","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58350 target='_blank' >Reference</a>"
"495","Mugil cephalus","Flathead grey mullet","Female",29.9,37.7,"TL","Mexico","Tamiahua Lagoon, Veracruz (21°06'-22°06' N and 97°23'-97°46' W, April 1991-Mar 1992)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=79024 target='_blank' >Reference</a>"
"496","Mugil cephalus","Flathead grey mullet","Male",28,37.3,"TL","Mexico","Tamiahua Lagoon, Veracruz (21°06'-22°06' N and 97°23'-97°46' W, April 1991-Mar 1992)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=79024 target='_blank' >Reference</a>"
"497","Mylocheilus caurinus","Peamouth","Female",NA,24.9,"TL","United States","Washington","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58470 target='_blank' >Reference</a>"
"500","Myoxocephalus quadricornis","Fourhorn sculpin","Mixed",15,NA,NA,NA,"Arctic seas","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=35388 target='_blank' >Reference</a>"
"507","Nocomis micropogon","River chub","Unsexed",NA,11,"SL","Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"508","Notemigonus crysoleucas","Golden shiner","Unsexed",NA,6.4,"SL","Canada","Ontario lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612 target='_blank' >Reference</a>"
"510","Notropis atherinoides","Emerald shiner","Unsexed",NA,4.2,"SL","Canada","Ontario lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612 target='_blank' >Reference</a>"
"511","Notropis bifrenatus","Bridle shiner","Unsexed",NA,3.5,"SL","United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=54724 target='_blank' >Reference</a>"
"513","Oncorhynchus clarkii","Cutthroat trout","Unsexed",10,NA,"TL","United States","Near South Fork Snake River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48950 target='_blank' >Reference</a>"
"514","Oncorhynchus clarkii","Cutthroat trout","Unsexed",30,NA,"TL","United States","South Fork Snake River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48950 target='_blank' >Reference</a>"
"515","Oncorhynchus clarkii","Cutthroat trout","Female",15,NA,"SL","United States","Upper Missouri River drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74494 target='_blank' >Reference</a>"
"516","Oncorhynchus clarkii","Cutthroat trout","Male",11,NA,"TL","United States","Upper Missouri River drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74494 target='_blank' >Reference</a>"
"517","Oncorhynchus gorbuscha","Pink salmon","Unsexed",40,45,"TL",NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27368 target='_blank' >Reference</a>"
"519","Oncorhynchus keta","Chum salmon","Female",NA,70,NA,"Canada","Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"520","Oncorhynchus keta","Chum salmon","Male",NA,81,NA,"Canada","Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"528","Oncorhynchus mykiss","Rainbow trout","Unsexed",15,NA,NA,NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27547 target='_blank' >Reference</a>"
"530","Oncorhynchus nerka","Sockeye salmon","Unsexed",NA,60,NA,"Canada","Cultus Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"533","Oncorhynchus tshawytscha","Chinook salmon","Unsexed",NA,78.9,NA,"Russian Federation","Eastern Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56350 target='_blank' >Reference</a>"
"534","Oncorhynchus tshawytscha","Chinook salmon","Unsexed",NA,85.4,NA,"Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56350 target='_blank' >Reference</a>"
"539","Osmerus mordax","Rainbow smelt","Female",NA,19.7,"TL","United States","Massachusetts river system","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52221 target='_blank' >Reference</a>"
"540","Osmerus mordax","Rainbow smelt","Female",NA,19.3,"TL","United States","Western Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52222 target='_blank' >Reference</a>"
"541","Osmerus mordax","Rainbow smelt","Male",NA,18.8,"TL","United States","Massachusetts river system","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52221 target='_blank' >Reference</a>"
"542","Osmerus mordax","Rainbow smelt","Male",NA,15,"TL","United States","Western Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52222 target='_blank' >Reference</a>"
"543","Osmerus mordax","Rainbow smelt","Mixed",NA,22,"TL","Canada","Beaufort Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52220 target='_blank' >Reference</a>"
"547","Osmerus dentex","Pacific rainbow smelt","Mixed",14,NA,"FL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"551","Percopsis omiscomaycus","Trout-perch","Female",7.5,NA,"TL","United States","SE Lake Michigan, 1970","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=51953 target='_blank' >Reference</a>"
"559","Platichthys stellatus","Starry flounder","Female",35,NA,NA,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1098 target='_blank' >Reference</a>"
"560","Platichthys stellatus","Starry flounder","Male",30,NA,NA,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1098 target='_blank' >Reference</a>"
"565","Prosopium cylindraceum","Round whitefish","Female",NA,30,"NG","Russian Federation","Anadyr river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56521 target='_blank' >Reference</a>"
"566","Prosopium cylindraceum","Round whitefish","Male",NA,27,"NG","Russian Federation","Anadyr river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56521 target='_blank' >Reference</a>"
"567","Pungitius pungitius","Ninespine stickleback","Unsexed",NA,3.7,NA,"England and Wales (UK)","Cheshire, England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"572","Rhinichthys cataractae","Longnose dace","Female",5.6,NA,"SL","Canada","Coweeta drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=51971 target='_blank' >Reference</a>"
"575","Salmo salar","Atlantic salmon","Male",7.5,8.5,"FL","Spain","Esva River (43°33'N, 6°32'E), 1992-1994","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=36293 target='_blank' >Reference</a>"
"579","Salmo salar","Atlantic salmon","Female",NA,73.8,"FL","Canada","Bouleau River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801 target='_blank' >Reference</a>"
"580","Salmo salar","Atlantic salmon","Female",NA,72.4,"FL","Canada","Pigou River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801 target='_blank' >Reference</a>"
"582","Salmo salar","Atlantic salmon","Male",NA,50.6,"FL","Canada","Bouleau River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801 target='_blank' >Reference</a>"
"584","Salmo salar","Atlantic salmon","Male",NA,53.1,"FL","Canada","Pigou River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801 target='_blank' >Reference</a>"
"591","Salmo salar","Atlantic salmon","Unsexed",60,NA,"TL",NA,"Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89463 target='_blank' >Reference</a>"
"594","Salvelinus alpinus alpinus","Arctic char","Female",NA,60,NA,"Canada","Baffin Island","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"597","Salvelinus alpinus alpinus","Arctic char","Unsexed",NA,35,NA,"Canada","Cumberland Sound, Baffin Island","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28967 target='_blank' >Reference</a>"
"598","Salvelinus alpinus alpinus","Arctic char","Unsexed",NA,38.1,NA,"Canada","Frasier River, northern Labrador","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40568 target='_blank' >Reference</a>"
"602","Salvelinus confluentus","Bull trout","Unsexed",58,72,"SL",NA,"Tributaries to Thutade Lake, northcentral BC","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49186 target='_blank' >Reference</a>"
"608","Salvelinus malma","Dolly varden","Unsexed",20,NA,"NG",NA,"Not specified (probably in North Korea)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12218 target='_blank' >Reference</a>"
"609","Salvelinus malma","Dolly varden","Unsexed",NA,32,NA,"Alaska (USA)","Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40572 target='_blank' >Reference</a>"
"610","Salvelinus malma","Dolly varden","Unsexed",12,15,"SL",NA,"Tributaries to Thutade Lake, northcentral BC","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49186 target='_blank' >Reference</a>"
"611","Salvelinus namaycush","Lake trout","Unsexed",NA,18.4,NA,"Canada","Great Slave Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"614","Salvelinus namaycush","Lake trout","Female",42.2,NA,"FL","Alaska (USA)","Walker L., Gates of the Arctic Nat'l Park, 1987-88","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33305 target='_blank' >Reference</a>"
"615","Salvelinus namaycush","Lake trout","Male",43.5,NA,"FL","Alaska (USA)","Walker L., Gates of the Arctic Nat'l Park, 1987-88","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33305 target='_blank' >Reference</a>"
"616","Salvelinus namaycush","Lake trout","Unsexed",34,NA,NA,"Alaska (USA)","Brooks Range","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33306 target='_blank' >Reference</a>"
"617","Salvelinus namaycush","Lake trout","Unsexed",30.8,NA,NA,"Alaska (USA)","Subarctic region","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33307 target='_blank' >Reference</a>"
"618","Salvelinus namaycush","Lake trout","Unsexed",NA,37,"FL","Alaska (USA)","Butte Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"619","Salvelinus namaycush","Lake trout","Unsexed",NA,41,"FL","Alaska (USA)","Chandler  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"620","Salvelinus namaycush","Lake trout","Unsexed",NA,48.1,"FL","Alaska (USA)","Fielding Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"621","Salvelinus namaycush","Lake trout","Unsexed",NA,37.5,"FL","Alaska (USA)","Glacier  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"622","Salvelinus namaycush","Lake trout","Unsexed",NA,35,"FL","Alaska (USA)","Landlocked Tangle  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"623","Salvelinus namaycush","Lake trout","Unsexed",NA,42.6,"FL","Alaska (USA)","Paxson Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"624","Salvelinus namaycush","Lake trout","Unsexed",NA,38.6,"FL","Alaska (USA)","Sevenmile Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"625","Salvelinus namaycush","Lake trout","Unsexed",NA,45.2,"FL","Alaska (USA)","Summit Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"626","Salvelinus namaycush","Lake trout","Unsexed",NA,34.3,"FL","Alaska (USA)","Twobit  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"627","Salvelinus namaycush","Lake trout","Unsexed",NA,40,"FL","Alaska (USA)","Upper Tangle Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"628","Salvelinus namaycush","Lake trout","Unsexed",NA,47.6,"FL","Alaska (USA)","Walker Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309 target='_blank' >Reference</a>"
"630","Sander canadensis","Sauger","Female",NA,32,NA,"Canada","Lake Nipigon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"631","Sander vitreus","Walleye","Female",36,NA,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33236 target='_blank' >Reference</a>"
"632","Sander vitreus","Walleye","Male",28,NA,"TL","Canada","To be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33236 target='_blank' >Reference</a>"
"638","Spirinchus thaleichthys","Longfin smelt","Unsexed",NA,9,"TL","Alaska (USA)","Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56527 target='_blank' >Reference</a>"
"639","Stenodus leucichthys","Sheefish","Female",70,NA,"FL","Russian Federation","Anadyr Basin, 1972-96","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38435 target='_blank' >Reference</a>"
"640","Stenodus leucichthys","Sheefish","Male",65,NA,"FL","Russian Federation","Anadyr Basin, 1972-96","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38435 target='_blank' >Reference</a>"
"641","Stenodus leucichthys","Sheefish","Mixed",48,NA,"FL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"642","Stenodus leucichthys","Sheefish","Unsexed",60,NA,"SL",NA,"Arctic Ocean basin ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"646","Stenodus nelma","","Mixed",60,NA,"SL",NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"649","Thaleichthys pacificus","Eulachon","Unsexed",15,NA,"FL","United States","Bering Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56527 target='_blank' >Reference</a>"
"654","Thymallus arcticus","Arctic grayling","Mixed",23,NA,"FL","Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502 target='_blank' >Reference</a>"
"656","Ctenopharyngodon idella","Grass carp","Female",60,NA,"SL","Russian Federation","Amur River (middle)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48 target='_blank' >Reference</a>"
