"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"83","Salmo trutta","Sea trout","Female",NA,18.8,"FL","Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"84","Salmo trutta","Sea trout","Male",NA,14.2,"FL","Norway","Bellbekken stream (above  waterfalls), 1997–1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"85","Salmo trutta","Sea trout","Male",NA,14.1,"FL","Norway","Bjøråa stream (above waterfalls), 1997-1999 (Sep. - Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"86","Salmo trutta","Sea trout","Male",NA,15.9,"FL","Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"87","Salmo trutta","Sea trout","Male",NA,14.8,"FL","Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"88","Salmo trutta","Sea trout","Male",NA,16.2,"FL","Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"89","Salmo trutta","Sea trout","Male",NA,18.7,"FL","Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"90","Salmo trutta","Sea trout","Male",NA,17.2,"FL","Norway","Ulvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951 target='_blank' >Reference</a>"
"95","Salmo trutta","Sea trout","Female",NA,16.18,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"96","Salmo trutta","Sea trout","Female",NA,14.13,"FL","Spain","Cega river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"97","Salmo trutta","Sea trout","Female",NA,15.6,"FL","Spain","Dulce river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"98","Salmo trutta","Sea trout","Female",NA,13.3,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"99","Salmo trutta","Sea trout","Female",NA,16.45,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"100","Salmo trutta","Sea trout","Female",NA,14.47,"FL","Spain","Hoz Seca River/ 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"101","Salmo trutta","Sea trout","Female",NA,16.73,"FL","Spain","Jarama River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"102","Salmo trutta","Sea trout","Male",NA,13.43,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"103","Salmo trutta","Sea trout","Male",NA,12.32,"FL","Spain","Cega River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"104","Salmo trutta","Sea trout","Male",NA,14.14,"FL","Spain","Dulce River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"105","Salmo trutta","Sea trout","Male",NA,12.46,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"106","Salmo trutta","Sea trout","Male",NA,13.2,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"107","Salmo trutta","Sea trout","Male",NA,13.88,"FL","Spain","Hoz Seca River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"108","Salmo trutta","Sea trout","Male",NA,13.86,"FL","Spain","Jaram river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501 target='_blank' >Reference</a>"
"114","Salmo trutta","Sea trout","Female",1.28,NA,"SL","Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27724 target='_blank' >Reference</a>"
"115","Salmo trutta","Sea trout","Male",1.05,NA,"SL","Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27724 target='_blank' >Reference</a>"
"116","Salmo trutta","Sea trout","Female",14.7,NA,NA,NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41168 target='_blank' >Reference</a>"
"117","Salmo trutta","Sea trout","Male",12.5,NA,NA,NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41168 target='_blank' >Reference</a>"
"119","Salmo trutta","Sea trout","Female",257,NA,"FL","Poland","Department of Salmonid Research in Rutki of the Inland Fisheries Institute, Olsztyn, 1998-2002","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91275 target='_blank' >Reference</a>"
"120","Salmo macrostigma",NA,"Female",17.8,NA,"FL","Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=50434 target='_blank' >Reference</a>"
"121","Salmo macrostigma",NA,"Male",17.4,NA,"FL","Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=50434 target='_blank' >Reference</a>"
"126","Scardinius erythrophthalmus","Rudd","Female",NA,8.1,NA,"Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75295 target='_blank' >Reference</a>"
"127","Scardinius erythrophthalmus","Rudd","Male",NA,7.12,"TL","Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75295 target='_blank' >Reference</a>"
"128","Scardinius acarnanicus",NA,"Unsexed",14,NA,"SL","Italy","Acheloos drainge","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"130","Tinca tinca","Tench","Unsexed",7,NA,"SL",NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043 target='_blank' >Reference</a>"
"131","Tinca tinca","Tench","Female",19.8,NA,"FL","Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75325 target='_blank' >Reference</a>"
