"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"86","Salmo trutta","Sea trout","Male",NA,15.9,"Norway","Bjøråa stream (below waterfalls), 1997-1999 (Sep. - Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"87","Salmo trutta","Sea trout","Male",NA,14.8,"Norway","Gjesa stream (below waterfalls), 1997-1999 (Sep.- Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"88","Salmo trutta","Sea trout","Male",NA,16.2,"Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"89","Salmo trutta","Sea trout","Male",NA,18.7,"Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"90","Salmo trutta","Sea trout","Male",NA,17.2,"Norway","Ulvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75951>Reference</a>"
"95","Salmo trutta","Sea trout","Female",NA,16.18,"Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"96","Salmo trutta","Sea trout","Female",NA,14.13,"Spain","Cega river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"97","Salmo trutta","Sea trout","Female",NA,15.6,"Spain","Dulce river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"98","Salmo trutta","Sea trout","Female",NA,13.3,"Spain","Eresma River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"99","Salmo trutta","Sea trout","Female",NA,16.45,"Spain","Gallo River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"100","Salmo trutta","Sea trout","Female",NA,14.47,"Spain","Hoz Seca River/ 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"101","Salmo trutta","Sea trout","Female",NA,16.73,"Spain","Jarama River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"102","Salmo trutta","Sea trout","Male",NA,13.43,"Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"103","Salmo trutta","Sea trout","Male",NA,12.32,"Spain","Cega River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"104","Salmo trutta","Sea trout","Male",NA,14.14,"Spain","Dulce River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"105","Salmo trutta","Sea trout","Male",NA,12.46,"Spain","Eresma River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"106","Salmo trutta","Sea trout","Male",NA,13.2,"Spain","Gallo River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"107","Salmo trutta","Sea trout","Male",NA,13.88,"Spain","Hoz Seca River / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"108","Salmo trutta","Sea trout","Male",NA,13.86,"Spain","Jaram river / 1996-1998","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91501>Reference</a>"
"114","Salmo trutta","Sea trout","Female",1.28,NA,"Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27724>Reference</a>"
"115","Salmo trutta","Sea trout","Male",1.05,NA,"Greece","Aspropotamos stream (March 1981- February 1982)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27724>Reference</a>"
"116","Salmo trutta","Sea trout","Female",14.7,NA,NA,"not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41168>Reference</a>"
"117","Salmo trutta","Sea trout","Male",12.5,NA,NA,"not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41168>Reference</a>"
"119","Salmo trutta","Sea trout","Female",257,NA,"Poland","Department of Salmonid Research in Rutki of the Inland Fisheries Institute, Olsztyn, 1998-2002","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=91275>Reference</a>"
"120","Salmo macrostigma",NA,"Female",17.8,NA,"Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=50434>Reference</a>"
"121","Salmo macrostigma",NA,"Male",17.4,NA,"Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=50434>Reference</a>"
"126","Scardinius erythrophthalmus","Rudd","Female",NA,8.1,"Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75295>Reference</a>"
"127","Scardinius erythrophthalmus","Rudd","Male",NA,7.12,"Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75295>Reference</a>"
"128","Scardinius acarnanicus",NA,"Unsexed",14,NA,"Italy","Acheloos drainge","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"130","Tinca tinca","Tench","Unsexed",7,NA,NA,"not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"131","Tinca tinca","Tench","Female",19.8,NA,"Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75325>Reference</a>"
"132","Tinca tinca","Tench","Male",16.9,NA,"Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=75325>Reference</a>"
"133","Margariscus margarita","Allegheny pearl dace","Unsexed",NA,9.4,"Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612>Reference</a>"
"134","Acipenser brevirostrum","Shortnose sturgeon","Female",45,NA,"United States","St. John River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38308>Reference</a>"
"135","Acipenser brevirostrum","Shortnose sturgeon","Female",70,NA,NA,"St. Johns River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38308>Reference</a>"
"136","Acipenser brevirostrum","Shortnose sturgeon","Male",49,NA,"United States","St. John River, New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639>Reference</a>"
"139","Acipenser fulvescens","Lake sturgeon","Unsexed",NA,112,"United States","Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"140","Acipenser fulvescens","Lake sturgeon","Female",NA,80,NA,"Nottaway River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9979>Reference</a>"
"141","Acipenser fulvescens","Lake sturgeon","Male",NA,90,NA,"Nottaway River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9979>Reference</a>"
"142","Acipenser fulvescens","Lake sturgeon","Female",NA,114,NA,"Quebec","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9980>Reference</a>"
"143","Acipenser fulvescens","Lake sturgeon","Male",NA,96.5,NA,"Quebec","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=9980>Reference</a>"
"145","Acipenser fulvescens","Lake sturgeon","Female",90,NA,NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332>Reference</a>"
"146","Acipenser fulvescens","Lake sturgeon","Male",85,NA,NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332>Reference</a>"
"147","Acipenser medirostris","Green sturgeon","Mixed",100,NA,NA,"Not specified.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52332>Reference</a>"
"148","Acipenser medirostris","Green sturgeon","Unsexed",NA,100,"Russian Federation","Sea of Japan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557>Reference</a>"
"149","Acipenser oxyrinchus","Atlantic sturgeon","Female",182.9,NA,"United States","Hudson River, New York","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639>Reference</a>"
"150","Acipenser oxyrinchus","Atlantic sturgeon","Female",NA,190,"United States","St. Lawrence River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"152","Acipenser oxyrinchus","Atlantic sturgeon","Male",121.9,NA,"United States","Hudson River, New York","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=4639>Reference</a>"
"153","Acipenser oxyrinchus","Atlantic sturgeon","Male",NA,165,"United States","St. Lawrence River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"158","Acipenser transmontanus","White sturgeon","Unsexed",NA,112,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"161","Acipenser transmontanus","White sturgeon","Female",NA,160,NA,"lower Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=34045>Reference</a>"
"167","Alosa mediocris","Hickory shad","Female",NA,32,"United States","not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38619>Reference</a>"
"168","Alosa mediocris","Hickory shad","Male",NA,28.7,"United States","not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38619>Reference</a>"
"170","Alosa pseudoharengus","Alewife","Female",11,NA,"Canada","Lake Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38946>Reference</a>"
"172","Alosa pseudoharengus","Alewife","Male",9.55,NA,"Canada","Lake Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38946>Reference</a>"
"174","Alosa pseudoharengus","Alewife","Mixed",NA,15.8,"United States","Lake Michigan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38634>Reference</a>"
"175","Alosa pseudoharengus","Alewife","Mixed",NA,13.1,"United States","Lake Ontario, 1978-92","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52208>Reference</a>"
"177","Alosa sapidissima","American shad","Female",38.3,NA,"United States","St John's River, Florida","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38973>Reference</a>"
"178","Alosa sapidissima","American shad","Male",30.5,NA,"United States","St. John's River, Florida","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38973>Reference</a>"
"185","Amia calva","Bowfin","Female",61,NA,NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"186","Amia calva","Bowfin","Male",45.7,NA,NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"189","Amia calva","Bowfin","Female",38,NA,"United States","Chesapeake Bay","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252>Reference</a>"
"190","Anguilla rostrata","American eel","Unsexed",35.3,NA,"United States","Altamaha River, Georgia, 1980-81","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7130>Reference</a>"
"191","Anguilla rostrata","American eel","Female",37,NA,"United States","Chesapeake Bay.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252>Reference</a>"
"192","Anguilla rostrata","American eel","Male",22,NA,"United States","Chesapeake Bay.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252>Reference</a>"
"194","Catostomus catostomus","Longnose sucker","Unsexed",13,NA,NA,"Frye Creek, Sixteen Mile Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10928>Reference</a>"
"200","Catostomus commersonii","White sucker","Unsexed",23,NA,NA,"Frye Creek, Sixteenmile Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10928>Reference</a>"
"202","Catostomus platyrhynchus","Mountain sucker","Female",14.3,NA,"United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48536>Reference</a>"
"203","Catostomus platyrhynchus","Mountain sucker","Female",12.7,NA,"United States","Montana streams","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48879>Reference</a>"
"204","Catostomus platyrhynchus","Mountain sucker","Female",10.6,NA,"United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10452>Reference</a>"
"205","Catostomus platyrhynchus","Mountain sucker","Male",11.5,NA,"United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48536>Reference</a>"
"206","Catostomus platyrhynchus","Mountain sucker","Male",10.7,NA,"United States","Montana streams","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48879>Reference</a>"
"207","Catostomus platyrhynchus","Mountain sucker","Male",7.6,NA,"United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10452>Reference</a>"
"208","Clupea harengus","Atlantic herring","Unsexed",NA,25,"Canada","New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"209","Clupea harengus","Atlantic herring","Unsexed",NA,30,NA,"Southern Gulf of St. Lawrence","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"210","Clupea harengus","Atlantic herring","Unsexed",NA,32.5,NA,"Southern Gulf of St. Lawrence.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809>Reference</a>"
"212","Clupea harengus","Atlantic herring","Female",NA,25.4,"United States","northeastern coast, 1987-89","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12186>Reference</a>"
"213","Clupea harengus","Atlantic herring","Male",NA,25.3,"United States","northeastern coast, 1987-89","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12186>Reference</a>"
