"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Country","Locality","Reference"
"446","Lethenteron appendix","American brook lamprey","Unsexed",NA,15,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559>Reference</a>"
"447","Lethenteron camtschaticum","Arctic lamprey","Female",13,NA,NA,"North America and Asia.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12321>Reference</a>"
"448","Lethenteron camtschaticum","Arctic lamprey","Male",13.5,NA,NA,"North America and Asia.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12321>Reference</a>"
"449","Lethenteron camtschaticum","Arctic lamprey","Unsexed",13,NA,"Mongolia","Barh and Hurh rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"450","Lethenteron camtschaticum","Arctic lamprey","Unsexed",35,NA,NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"455","Lota lota","Burbot","Female",35,NA,"Mongolia","Selenga and orhon rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"456","Lota lota","Burbot","Male",27,NA,"Mongolia","Selenga and Orhon rivers","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=41072>Reference</a>"
"462","Lota lota","Burbot","Mixed",40,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"463","Lota lota","Burbot","Unsexed",45,NA,"Alaska (USA)","Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58810>Reference</a>"
"466","Luxilus chrysocephalus","Striped shiner","Female",NA,6.7,"United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52559>Reference</a>"
"467","Luxilus cornutus","Common shiner","Unsexed",NA,7.4,"Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612>Reference</a>"
"468","Lythrurus umbratilis","Redfin shiner","Unsexed",NA,3,"United States","Mississippi","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58620>Reference</a>"
"469","Macrhybopsis storeriana","Silver chub","Unsexed",NA,13.2,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58533>Reference</a>"
"470","Micropterus dolomieu","Smallmouth bass","Female",22,NA,"United States","Nebish Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40678>Reference</a>"
"471","Micropterus dolomieu","Smallmouth bass","Male",20,NA,"United States","Nebish Lake, Wisconsin","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=32487>Reference</a>"
"476","Morone chrysops","White bass","Female",NA,28,"United States","Lake Erie, 1927-29","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3380>Reference</a>"
"477","Morone chrysops","White bass","Male",NA,21,"United States","Lake Erie, 1927-29","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=3380>Reference</a>"
"484","Mugil cephalus","Flathead grey mullet","Unsexed",NA,27,"Tunisia","lagoon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2285>Reference</a>"
"485","Mugil cephalus","Flathead grey mullet","Unsexed",30,NA,NA,"Western Australia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28724>Reference</a>"
"486","Mugil cephalus","Flathead grey mullet","Female",NA,33,"France","Gulf of Lion","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7253>Reference</a>"
"487","Mugil cephalus","Flathead grey mullet","Male",NA,31,"France","Gulf of Lion","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7253>Reference</a>"
"488","Mugil cephalus","Flathead grey mullet","Unsexed",20,NA,"Taiwan","Taiwan","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=11281>Reference</a>"
"489","Mugil cephalus","Flathead grey mullet","Unsexed",45,NA,"Namibia","Namibia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=36731>Reference</a>"
"491","Mugil cephalus","Flathead grey mullet","Unsexed",30,NA,"Russian Federation","Primorye","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56557>Reference</a>"
"492","Mugil cephalus","Flathead grey mullet","Unsexed",NA,34,"South Africa","southern African estuaries","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58350>Reference</a>"
"495","Mugil cephalus","Flathead grey mullet","Female",29.9,37.7,"Mexico","Tamiahua Lagoon, Veracruz (21°06'-22°06' N and 97°23'-97°46' W, April 1991-Mar 1992)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=79024>Reference</a>"
"496","Mugil cephalus","Flathead grey mullet","Male",28,37.3,"Mexico","Tamiahua Lagoon, Veracruz (21°06'-22°06' N and 97°23'-97°46' W, April 1991-Mar 1992)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=79024>Reference</a>"
"497","Mylocheilus caurinus","Peamouth","Female",NA,24.9,"United States","Washington","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58470>Reference</a>"
"500","Myoxocephalus quadricornis","Fourhorn sculpin","Mixed",15,NA,NA,"Arctic seas","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=35388>Reference</a>"
"507","Nocomis micropogon","River chub","Unsexed",NA,11,"Canada","Ontario","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998>Reference</a>"
"508","Notemigonus crysoleucas","Golden shiner","Unsexed",NA,6.4,"Canada","Ontario lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612>Reference</a>"
"510","Notropis atherinoides","Emerald shiner","Unsexed",NA,4.2,"Canada","Ontario lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58612>Reference</a>"
"511","Notropis bifrenatus","Bridle shiner","Unsexed",NA,3.5,"United States","Virginia","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=54724>Reference</a>"
"513","Oncorhynchus clarkii","Cutthroat trout","Unsexed",10,NA,"United States","near South Fork Snake River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48950>Reference</a>"
"514","Oncorhynchus clarkii","Cutthroat trout","Unsexed",30,NA,"United States","South Fork Snake River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48950>Reference</a>"
"515","Oncorhynchus clarkii","Cutthroat trout","Female",15,NA,"United States","Upper Missouri River drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74494>Reference</a>"
"516","Oncorhynchus clarkii","Cutthroat trout","Male",11,NA,"United States","Upper Missouri River drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=74494>Reference</a>"
"517","Oncorhynchus gorbuscha","Pink salmon","Unsexed",40,45,NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27368>Reference</a>"
"519","Oncorhynchus keta","Chum salmon","Female",NA,70,"Canada","Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"520","Oncorhynchus keta","Chum salmon","Male",NA,81,"Canada","Columbia River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"528","Oncorhynchus mykiss","Rainbow trout","Unsexed",15,NA,NA,"Not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=27547>Reference</a>"
"530","Oncorhynchus nerka","Sockeye salmon","Unsexed",NA,60,"Canada","Cultus Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"533","Oncorhynchus tshawytscha","Chinook salmon","Unsexed",NA,78.9,"Russian Federation","Eastern Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56350>Reference</a>"
"534","Oncorhynchus tshawytscha","Chinook salmon","Unsexed",NA,85.4,"Russian Federation","Western Kamchatka","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56350>Reference</a>"
"539","Osmerus mordax","Rainbow smelt","Female",NA,19.7,"United States","Massachusetts river system","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52221>Reference</a>"
"540","Osmerus mordax","Rainbow smelt","Female",NA,19.3,"United States","western Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52222>Reference</a>"
"541","Osmerus mordax","Rainbow smelt","Male",NA,18.8,"United States","Massachusetts river system","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52221>Reference</a>"
"542","Osmerus mordax","Rainbow smelt","Male",NA,15,"United States","western Lake Superior","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52222>Reference</a>"
"543","Osmerus mordax","Rainbow smelt","Mixed",NA,22,"Canada","Beaufort Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=52220>Reference</a>"
"547","Osmerus dentex","Pacific rainbow smelt","Mixed",14,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"551","Percopsis omiscomaycus","Trout-perch","Female",7.5,NA,"United States","SE Lake Michigan, 1970","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=51953>Reference</a>"
"559","Platichthys stellatus","Starry flounder","Female",35,NA,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1098>Reference</a>"
"560","Platichthys stellatus","Starry flounder","Male",30,NA,"United States","California","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1098>Reference</a>"
"565","Prosopium cylindraceum","Round whitefish","Female",NA,30,"Russian Federation","Anadyr river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56521>Reference</a>"
"566","Prosopium cylindraceum","Round whitefish","Male",NA,27,"Russian Federation","Anadyr river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56521>Reference</a>"
"567","Pungitius pungitius","Ninespine stickleback","Unsexed",NA,3.7,"England and Wales (UK)","Cheshire, England","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"572","Rhinichthys cataractae","Longnose dace","Female",5.6,NA,"Canada","Coweeta drainage","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=51971>Reference</a>"
"575","Salmo salar","Atlantic salmon","Male",7.5,8.5,"Spain","Esva River (43°33'N, 6°32'E), 1992-1994","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=36293>Reference</a>"
"579","Salmo salar","Atlantic salmon","Female",NA,73.8,"Canada","Bouleau River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801>Reference</a>"
"580","Salmo salar","Atlantic salmon","Female",NA,72.4,"Canada","Pigou River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801>Reference</a>"
"582","Salmo salar","Atlantic salmon","Male",NA,50.6,"Canada","Bouleau River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801>Reference</a>"
"584","Salmo salar","Atlantic salmon","Male",NA,53.1,"Canada","Pigou River, Quebec, 1973","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=58801>Reference</a>"
"591","Salmo salar","Atlantic salmon","Unsexed",60,NA,NA,"Baltic Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=89463>Reference</a>"
"594","Salvelinus alpinus alpinus","Arctic char","Female",NA,60,"Canada","Baffin Island","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"597","Salvelinus alpinus alpinus","Arctic char","Unsexed",NA,35,"Canada","Cumberland Sound, Baffin Island","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=28967>Reference</a>"
"598","Salvelinus alpinus alpinus","Arctic char","Unsexed",NA,38.1,"Canada","Frasier River, northern Labrador","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40568>Reference</a>"
"602","Salvelinus confluentus","Bull trout","Unsexed",58,72,NA,"tributaries to Thutade Lake, northcentral BC","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49186>Reference</a>"
"608","Salvelinus malma","Dolly varden","Unsexed",20,NA,NA,"Not specified (probably in North Korea)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12218>Reference</a>"
"609","Salvelinus malma","Dolly varden","Unsexed",NA,32,"Alaska (USA)","Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=40572>Reference</a>"
"610","Salvelinus malma","Dolly varden","Unsexed",12,15,NA,"tributaries to Thutade Lake, northcentral BC","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=49186>Reference</a>"
"611","Salvelinus namaycush","Lake trout","Unsexed",NA,18.4,"Canada","Great Slave Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"614","Salvelinus namaycush","Lake trout","Female",42.2,NA,"Alaska (USA)","Walker L., Gates of the Arctic Nat'l Park, 1987-88","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33305>Reference</a>"
"615","Salvelinus namaycush","Lake trout","Male",43.5,NA,"Alaska (USA)","Walker L., Gates of the Arctic Nat'l Park, 1987-88","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33305>Reference</a>"
"616","Salvelinus namaycush","Lake trout","Unsexed",34,NA,"Alaska (USA)","Brooks Range","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33306>Reference</a>"
"617","Salvelinus namaycush","Lake trout","Unsexed",30.8,NA,"Alaska (USA)","Subarctic region","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33307>Reference</a>"
"618","Salvelinus namaycush","Lake trout","Unsexed",NA,37,"Alaska (USA)","Butte Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"619","Salvelinus namaycush","Lake trout","Unsexed",NA,41,"Alaska (USA)","Chandler  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"620","Salvelinus namaycush","Lake trout","Unsexed",NA,48.1,"Alaska (USA)","Fielding Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"621","Salvelinus namaycush","Lake trout","Unsexed",NA,37.5,"Alaska (USA)","Glacier  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"622","Salvelinus namaycush","Lake trout","Unsexed",NA,35,"Alaska (USA)","Landlocked Tangle  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"623","Salvelinus namaycush","Lake trout","Unsexed",NA,42.6,"Alaska (USA)","Paxson Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"624","Salvelinus namaycush","Lake trout","Unsexed",NA,38.6,"Alaska (USA)","Sevenmile Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"625","Salvelinus namaycush","Lake trout","Unsexed",NA,45.2,"Alaska (USA)","Summit Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"626","Salvelinus namaycush","Lake trout","Unsexed",NA,34.3,"Alaska (USA)","Twobit  Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"627","Salvelinus namaycush","Lake trout","Unsexed",NA,40,"Alaska (USA)","Upper Tangle Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"628","Salvelinus namaycush","Lake trout","Unsexed",NA,47.6,"Alaska (USA)","Walker Lake, 1987-90","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33309>Reference</a>"
"630","Sander canadensis","Sauger","Female",NA,32,"Canada","Lake Nipigon","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796>Reference</a>"
"631","Sander vitreus","Walleye","Female",36,NA,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33236>Reference</a>"
"632","Sander vitreus","Walleye","Male",28,NA,"Canada","to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=33236>Reference</a>"
"638","Spirinchus thaleichthys","Longfin smelt","Unsexed",NA,9,"Alaska (USA)","Alaska","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56527>Reference</a>"
"639","Stenodus leucichthys","Sheefish","Female",70,NA,"Russian Federation","Anadyr Basin, 1972-96","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38435>Reference</a>"
"640","Stenodus leucichthys","Sheefish","Male",65,NA,"Russian Federation","Anadyr Basin, 1972-96","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38435>Reference</a>"
"641","Stenodus leucichthys","Sheefish","Mixed",48,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"642","Stenodus leucichthys","Sheefish","Unsexed",60,NA,NA,"Arctic Ocean basin ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"646","Stenodus nelma","","Mixed",60,NA,NA,"not specified","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
"649","Thaleichthys pacificus","Eulachon","Unsexed",15,NA,"United States","Bering Sea","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56527>Reference</a>"
"654","Thymallus arcticus","Arctic grayling","Mixed",23,NA,"Russian Federation","Enisey river","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=56502>Reference</a>"
"656","Ctenopharyngodon idella","Grass carp","Female",60,NA,"Russian Federation","Amur River (middle)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"657","Ctenopharyngodon idella","Grass carp","Female",73.8,NA,"India","Cuttack","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"658","Ctenopharyngodon idella","Grass carp","Female",58,NA,"Malaysia","Malacca","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"659","Ctenopharyngodon idella","Grass carp","Male",60,NA,"Russian Federation","Amur River (middle)","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"660","Ctenopharyngodon idella","Grass carp","Male",75.2,NA,"India","Cuttack","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"661","Ctenopharyngodon idella","Grass carp","Male",51,NA,"Malaysia","Malacca","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48>Reference</a>"
"662","Ctenopharyngodon idella","Grass carp","Unsexed",NA,70,NA,"to be filled","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=150>Reference</a>"
"663","Ctenopharyngodon idella","Grass carp","Unsexed",NA,65,"China","Changjiang River = Yangtze","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797>Reference</a>"
"664","Ctenopharyngodon idella","Grass carp","Unsexed",NA,70,"China","Heilongjiang River = Amur","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797>Reference</a>"
"665","Ctenopharyngodon idella","Grass carp","Unsexed",NA,55,"China","Zhujiang River = Pearl River","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=37797>Reference</a>"
"667","Ctenopharyngodon idella","Grass carp","Unsexed",60,NA,NA,"not specified ","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=59043>Reference</a>"
