English Common Name,French Common Name,Scientific Name,Group
June Sucker,Catostome noir nain,Chasmistes liorus,"Catfish, Salmon, Sunfish & Walleye"
Kiyi,,Coregonus kiyi,"Catfish, Salmon, Sunfish & Walleye"
Lake Chub,M?n? de lac,Couesius plumbeus,"Catfish, Salmon, Sunfish & Walleye"
Lake Chubsucker,,Erimyzon sucetta,"Catfish, Salmon, Sunfish & Walleye"
Lake Sturgeon,Esturgeon jaune,Acipenser fulvescens,Herring & Sturgeon
Lake Trout,Touladi,Salvelinus namaycush,"Catfish, Salmon, Sunfish & Walleye"
Lake Whitefish,Grand cor?gone,Coregonus clupeaformis,"Catfish, Salmon, Sunfish & Walleye"
Largemouth Bass,Achigan ? grande bouche,Micropterus salmoides,"Catfish, Salmon, Sunfish & Walleye"
Largescale Sucker,Meunier ? grandes ?cailles,Catostomus macrocheilus,"Catfish, Salmon, Sunfish & Walleye"
Least Chub,M?n? des rapides,Iotichthys phlegethontis,"Catfish, Salmon, Sunfish & Walleye"
Least Cisco,Cisco sardinelle,Coregonus sardinella,"Catfish, Salmon, Sunfish & Walleye"
Least Darter,,Etheostoma microperca,"Catfish, Salmon, Sunfish & Walleye"
Leopard Dace,Naseux l?opard,Rhinichthys falcatus,"Catfish, Salmon, Sunfish & Walleye"
Logperch,Dard-perche,Percina caprodes,"Catfish, Salmon, Sunfish & Walleye"
Longear Sunfish,Crapet ? longues oreilles,Lepomis megalotis,"Catfish, Salmon, Sunfish & Walleye"
Longfin Smelt,?perlan d'hiver,Spirinchus thaleichthys,Herring & Sturgeon
Longjaw Cisco,Cisco ? grande bouche,Coregonus alpenae,"Catfish, Salmon, Sunfish & Walleye"
Longnose Dace,Naseux des rapides,Rhinichthys cataractae,"Catfish, Salmon, Sunfish & Walleye"
Longnose Gar,L?pisost? osseux,Lepisosteus osseus,Pike
Longnose Sucker,Meunier rouge,Catostomus catostomus,"Catfish, Salmon, Sunfish & Walleye"
