"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"88","Salmo trutta","Sea trout","Male",NA,162,"FL","Norway","Osa stream (above waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"89","Salmo trutta","Sea trout","Male",NA,187,"FL","Norway","Osa stream (below waterfalls), 1997-1999 (Sep.-Oct)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"90","Salmo trutta","Sea trout","Male",NA,172,"FL","Norway","Ulvåa stream (above waterfalls), 1997-1999 (Sep.-Oct.)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75951 target='_blank' >Olsen et al. 2005</a>"
"95","Salmo trutta","Sea trout","Female",NA,161.8,"FL","Spain","Cabrillas River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"96","Salmo trutta","Sea trout","Female",NA,141.3,"FL","Spain","Cega river / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"97","Salmo trutta","Sea trout","Female",NA,156,"FL","Spain","Dulce river / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"98","Salmo trutta","Sea trout","Female",NA,133,"FL","Spain","Eresma River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"99","Salmo trutta","Sea trout","Female",NA,164.5,"FL","Spain","Gallo River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"100","Salmo trutta","Sea trout","Female",NA,144.7,"FL","Spain","Hoz Seca River/ 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
"101","Salmo trutta","Sea trout","Female",NA,167.3,"FL","Spain","Jarama River / 1996-1998","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91501 target='_blank' >Nicola et al. 2002</a>"
