ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Moxostoma carinatum,river redhorse,,,335,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Moxostoma duquesnii,black redhorse,,,230,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Moxostoma erythrurum,golden redhorse,,,259,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Moxostoma hubbsi,copper redhorse,Mixed,,652,,Canada,Quebec,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Moxostoma macrolepidotum,shorthead redhorse,,,195,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Moxostoma valenciennesi,greater redhorse,Male,,460,SL,Canada,Lake Ontario drainage,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Ameiurus melas,black bullhead,,,220,TL,United States,North Dakota,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ameiurus natalis,yellow bullhead,,,212,TL,United States,Northern states,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ameiurus nebulosus,brown bullhead,,,161,SL,Canada,Ontario lake,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Ictalurus punctatus,channel catfish,,,337,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Noturus flavus,stonecat,,,89,SL,United States,Ohio,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Noturus gyrinus,tadpole madtom,,,62,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Noturus insignis,margined madtom,,,103,TL,,,"Carlander, 1969",http://fishbase.us/references/FBRefSummary.php?id=3527
Noturus miurus,brindled madtom,,51,61,,United States,Ohio,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Noturus stigmosus,northern madtom,,,60,,United States,Ohio,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=3987
Esox americanus americanus,redfin pickerel,,140,178,FL,United States,North Carolina,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Esox americanus vermiculatus,grass pickerel,,124,166,FL,Canada,"Jones Creek, Ontario","Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Esox lucius,northern pike,,,534,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Esox masquinongy,muskellunge,,,650,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Esox niger,chain pickerel,,,440,TL,Canada,New Brunswick,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Dallia pectoralis,Alaska blackfish,,,50,,United States,Alaska,"McPhail and Lindsey, 1970",http://fishbase.us/references/FBRefSummary.php?id=10280
Umbra limi,central mudminnow,,,110,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Hypomesus olidus,pond smelt,,,75,,United States,Alaska,"McPhail and Lindsey, 1970",http://fishbase.us/references/FBRefSummary.php?id=10280
Osmerus mordax,rainbow smelt,,,125,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Spirinchus thaleichthys,longfin smelt,,,107,SL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Thaleichthys pacificus,eulachon,,104,124,FL,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Coregonus artedi,cisco,,,246,SL,,,Portt et al. 1988,http://fishbase.us/references/FBRefSummary.php?id=10280
Coregonus hoyi,bloater,,,208,FL,Canada,Lake Ontario,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Coregonus kiyi,kiyi,Male,,178,TL,United States,Lake Michigan,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Coregonus kiyi,kiyi,Female,,173,TL,United States,Lake Michigan,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Coregonus laurettae,Bering cisco,,,345,FL,United States,Alaska,"Alt, 1973",http://fishbase.us/references/FBRefSummary.php?id=28864
Coregonus nigripinnis,blackfin cisco,,,183,SL,Canada,Lake Winnipeg,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Coregonus zenithicus,shortjaw cisco,,,277,TL,,Lake Superior,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Coregonus clupeaformis,lake whitefish,,,236,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Prosopium coulterii,pygmy whitefish,Male,91,,TL,,Lake Superior,"Eschmeyer and Bailey, 1954",http://fishbase.us/references/FBRefSummary.php?id=28945
Prosopium coulterii,pygmy whitefish,Female,107,,TL,,Lake Superior,"Eschmeyer and Bailey, 1954",http://fishbase.us/references/FBRefSummary.php?id=28945
Prosopium cylindraceum,round whitefish,,,183,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Prosopium williamsoni,mountain whitefish,,,230,,Canada,British Columbia,Ford et al. 1995,http://publications.gc.ca/pub?id=9.562530&sl=0
Stenodus leucichthys,inconnu,,,610,SL,Canada,"Great Slave Lake, Northwest Territories","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus aguabonita,golden trout,,,335,TL,United States,Montana,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Oncorhynchus clarkii,cutthroat trout,,,363,FL,Canada,"Vancouver Island, British Columbia","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus gorbuscha,pink salmon,,,411,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
