	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
103	Longnose Gar	Lépisosté osseux	Lepisosteus osseus	Pike	0.0186	0.055
104	Spotted Gar	Lépisosté tacheté	Lepisosteus oculatus	Pike	0.0186	0.055
105	Burbot	Lotte	Lota lota	Eel	0.02871	0.035
106	Freshwater Drum	Malachigan	Aplodinotus?grunniens	Eel	0.02871	0.035
107	Black Crappie	Marigane noire	Pomoxis nigromaculatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
108	Muskellunge	Maskinongé	Esox masquinongy	Pike	0.0186	0.055
109	Brassy Minnow	Mémé laiton	Hybognathus hankinsoni	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
110	Humpback Chub	Méné à bosses	Gila cypha	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
111	Common Shiner	Méné à nageoires rouges	Luxilus cornutus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
112	Sharpnose Shiner	Méné à nez pointu	Notropis oxyrhynchus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
113	Smalleye Shiner	Méné à petits yeux	Notropis buccula	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
114	Blacktail Shiner	Méné à queue noire	Cyprinella venusta	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
115	Blackspot Shiner	Méné à tache noire	Notropis atrocaudalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
116	Flathead Chub	Méné à tête plate	Platygobio gracilis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
117	Spotfin Shiner	Méné bleu	Cyprinella spiloptera	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
118	Rio Grande Silvery Minnow	Méné d’argent	Hybognathus amarus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
119	Weed Shiner	Méné d’herbe	Notropis texanus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
120	Redfin Shiner	Méné d’ombre	Lythrurus umbratilis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
121	Lake Chub	Méné de lac	Couesius plumbeus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
122	Proserpine Shiner	Méné de Proserpine	Cyprinella proserpina	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
123	Plains Minnow	Méné des plaines	Hybognathus placitus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
124	Least Chub	Méné des rapides	Iotichthys phlegethontis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
125	Peamouth	Méné deux-barres	Mylocheilus caurinus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
126	Bridle Shiner	Méné d'herbe	Notropis bifrenatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
127	Emerald Shiner	Méné émeraude	Notropis atherinoides	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
128	Ghost Shiner	Méné fantôme	Notropis buchanani	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
129	Golden Shiner	Méné jaune	Notemigonus crysoleucas	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
130	Redside Dace	Méné long	Clinostomus elongatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
131	Silverband Shiner	Méné miroir	Notropis shumardi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
132	Speckled Chub	Méné moucheté	Macrhybopsis aestivalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
133	Sand Shiner	Méné paille	Notropis stramineus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
134	Mimic Shiner	Méné pâle	Notropis volucellus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
135	Striped Shiner	Méné rayé	Luxilus chrysocephalus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
136	Redside Shiner	Méné rose	Richardsonius balteatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
137	Red Shiner	Méné rouge	Cyprinella lutrensis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
