"","ScientificName","CommonName","FrenchName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"94","Cyprinus carpio","Carp","Carpe","Male",200,NA,"NG",NA,"Not Stated","<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>"
"95","Cyprinus carpio","Carp","Carpe","Mixed",NA,251,"TL","France","Camargue","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52210 target='_blank' >Crivelli 1981</a>"
"96","Cyprinus carpio","Carp","Carpe","Mixed",NA,194,"TL","Spain","Guadalquivir River, Southwest Region","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52211 target='_blank' >Fernández-... 1990</a>"
"97","Cyprinus carpio","Carp","Carpe","Female",NA,328,"FL",NA,"Barmah Forest","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>"
"98","Cyprinus carpio","Carp","Carpe","Female",NA,273,"FL",NA,"Campaspe Channels","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>"
"99","Cyprinus carpio","Carp","Carpe","Female",NA,347,"FL","Slovakia","Danube","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>"
"100","Cyprinus carpio","Carp","Carpe","Female",NA,403,"FL","South Africa","Hartbeespoort Dam","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89160 target='_blank' >Cochrane 1985</a>"
"101","Cyprinus carpio","Carp","Carpe","Female",276,335,"FL","South Africa","Lake Gariep, (30°38's; 25°46'e), Orange River, 2006-2008","<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>"
"102","Cyprinus carpio","Carp","Carpe","Female",NA,420,"FL","Kenya","Lake Naivasha","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>"
"103","Cyprinus carpio","Carp","Carpe","Male",NA,307,"FL",NA,"Barmah Forest","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>"
"104","Cyprinus carpio","Carp","Carpe","Male",NA,287,"FL",NA,"Campaspe","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>"
"105","Cyprinus carpio","Carp","Carpe","Male",NA,316,"FL","Slovakia","Danube","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>"
"106","Cyprinus carpio","Carp","Carpe","Male",258,296,"FL","South Africa","Lake Gariep, (30°38's; 25°46'e), Orange River, 2006-2008","<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>"
"107","Cyprinus carpio","Carp","Carpe","Male",NA,340,"FL","Kenya","Lake Naivasha","<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>"
"108","Cyprinus carpio","Carp","Carpe","Female",NA,338,"FL","Turkey","Bayramiç Reservoir","<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' >Çolakoğlu et al. 2011</a>"
"109","Cyprinus carpio","Carp","Carpe","Male",NA,283,"FL","Turkey","Bayramiç Reservoir","<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' >Çolakoğlu et al. 2011</a>"
