ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Aplodinotus grunniens,Freshwater Drum,Malachigan,,,292,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Notropis buchanani,Ghost Shiner,Méné fantôme,,,43,,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Dorosoma cepedianum,Gizzard Shad,Alose à gésier,,,279,SL,,,Minns et al. 1993,http://science-catalogue.canada.ca/record=b3889726~S6
Moxostoma erythrurum,Golden Redhorse,,,,259,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Oncorhynchus aguabonita,Golden Trout,,,,335,TL,United States,Montana,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Hiodon alosoides,Goldeye,Laquaiche aux yeux d'or,,,320,FL,,North America,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Carassius auratus,Goldfish,,,,175,,,,Minns et al. 1993,http://science-catalogue.canada.ca/record=b3889726~S6
Esox americanus vermiculatus,Grass Pickerel,,,124,166,FL,Canada,"Jones Creek, Ontario","Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Erimystax x-punctatus,Gravel Chub,Gravelier,,,81,TL,United States,Missouri,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Moxostoma valenciennesi,Greater Redhorse,Chevalier jaune,Male,,460,SL,Canada,Lake Ontario drainage,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Lepomis cyanellus,Green Sunfish,,,,76,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Etheostoma blennioides,Greenside Darter,,,52,56,TL,Canada,"Grand River, Ontario","Bunt et al. 1998; agrees with SL in Fahy, 1954",https://doi.org/10.1023/A:1007444811400
Nocomis biguttatus,Hornyhead Chub,,,,93,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Stenodus leucichthys,Inconnu,Inconnu,,,610,SL,Canada,"Great Slave Lake, Northwest Territories","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Etheostoma exile,Iowa Darter,Dard à ventre jaune,,,43,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Etheostoma nigrum,Johnny Darter,Raseux-de-terre noir,,,37,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Coregonus kiyi,Kiyi,,Male,,178,TL,United States,Lake Michigan,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Coregonus kiyi,Kiyi,,Female,,173,TL,United States,Lake Michigan,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Couesius plumbeus,Lake Chub,Méné de lac,,,108,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Erimyzon sucetta,Lake Chubsucker,,,,208,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,,,950,TL,,,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Salvelinus namaycush,Lake Trout,Touladi,,,510,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
